H	Summary
H	SCFiller:false
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_CYT_050316_2016_05_03_09_33950/search/projects2016_05_09_15_84074/
H	path	/data/2/rpark/ip2_data//ehall/Kiskinis_Lab_NU/EXP19_NUC_050316_2016_05_03_09_33951/search/projects2016_05_09_16_84075/
SLine	dataset	intersection	intersection	unique	all_union
S	dataset	EXP19_CYT_050316(searched:2016-05-09)	EXP19_NUC_050316(searched:2016-05-09)
S	EXP19_CYT_050316(searched:2016-05-09)	6984	3077	3907	9068	
S	EXP19_NUC_050316(searched:2016-05-09)	3077	5161	2084	9068	


S	CumulativeProteinCounts	6984	9068	

PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status
P	tr|E9PLK3|E9PLK3_HUMAN	42	4	4.9804384E-4	5.7612764E-5	1.0892961	0.1428783	54	4	32.0%	5.8%	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=2 SV=1 	2	1_1_	1_1_
P	tr|S4R399|S4R399_HUMAN	1	0	4.2407417E-5	0	0.2618276	0	1	0	10.1%	0	Ataxin-3 (Fragment) OS=Homo sapiens GN=ATXN3 PE=4 SV=1 	1	1_0_	1_0_
P	Q9UGL1	0	1	0	8.53557E-6	0	0.023293018	0	1	0	1.0%	Lysine-specific demethylase 5B OS=Homo sapiens GN=KDM5B PE=1 SV=3 	1	0_1_	0_1_
P	O43708-2	2	0	1.0483325E-4	0	0.33045447	0	2	0	12.4%	0	Isoform 2 of Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 	1	1_0_	1_0_
P	Q13561-3	0	31	0	0.0012426773	0	1.7039585	0	38	0	43.2%	Isoform 3 of Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 	1	0_1_	0_1_
P	Q13561-2	30	31	7.482924E-4	0.001233495	1.4210291	1.6853445	36	38	38.4%	42.9%	Isoform 2 of Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 	2	1_1_	1_1_
P	Q8TCZ2	3	0	9.663065E-5	0	0.3614447	0	3	0	13.4%	0	CD99 antigen-like protein 2 OS=Homo sapiens GN=CD99L2 PE=1 SV=1 	1	1_0_	1_0_
P	Q07866-8	36	7	6.1263714E-4	1.9134548E-4	1.5176768	0.4521116	40	8	40.1%	16.2%	Isoform S of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-7	36	7	5.780189E-4	1.8053314E-4	1.3878112	0.4190575	40	8	37.8%	15.2%	Isoform P of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-6	36	7	5.375208E-4	1.6788433E-4	1.2490547	0.38675582	40	8	35.2%	14.2%	Isoform N of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-5	36	7	5.4799195E-4	1.711548E-4	1.285599	0.39315677	40	8	35.9%	14.4%	Isoform K of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-9	36	7	5.282677E-4	1.649943E-4	1.2181964	0.37720942	40	8	34.6%	13.9%	Isoform I of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	tr|Q5SWX3|Q5SWX3_HUMAN	9	7	2.2896718E-4	2.2986489E-4	0.38995266	0.35518944	14	9	14.3%	13.2%	Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_n OS=Homo sapiens GN=CAMK2G PE=2 SV=1 	2	1_1_	1_1_
P	Reverse_tr|B4DTC3|B4DTC3_HUMAN	1	0	2.7851736E-5	0	0.18304157	0	1	0	7.3%	0	Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=2 SV=1 	1	1_0_	1_0_
P	Q07866-4	36	7	5.299263E-4	1.6551233E-4	1.22331	0.38038433	40	8	34.7%	14.0%	Isoform J of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-3	36	7	5.98516E-4	1.8693502E-4	1.4660394	0.43879855	40	8	39.2%	15.8%	Isoform G of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-2	36	7	6.027912E-4	1.8827028E-4	1.4831331	0.4421153	40	8	39.5%	15.9%	Isoform C of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	tr|Q5QPL9|Q5QPL9_HUMAN	0	9	0	5.004653E-4	0	0.7906058	0	9	0	25.3%	RNA-binding protein Raly (Fragment) OS=Homo sapiens GN=RALY PE=2 SV=1 	1	0_1_	0_1_
P	O43660-2	0	4	0	1.5658123E-4	0	0.23310483	0	6	0	9.1%	Isoform 2 of Pleiotropic regulator 1 OS=Homo sapiens GN=PLRG1 	1	0_1_	0_1_
P	Q9UGI8	6	0	1.2027187E-4	0	0.32129562	0	6	0	12.1%	0	Testin OS=Homo sapiens GN=TES PE=1 SV=1 	1	1_0_	1_0_
P	Q02218-2	15	3	1.739162E-4	3.8799564E-5	0.4927944	0.08143401	21	3	17.4%	3.4%	Isoform 2 of 2-oxoglutarate dehydrogenase, mitochondrial OS=Homo sapiens GN=OGDH 	2	1_1_	1_1_
P	Q9BRX2	1	3	2.1919677E-5	1.3692385E-4	0.11429453	0.27643883	1	4	4.7%	10.6%	Protein pelota homolog OS=Homo sapiens GN=PELO PE=1 SV=2 	2	1_1_	1_1_
P	Reverse_tr|F8WE88|F8WE88_HUMAN	0	1	0	7.116047E-6	0	0.02093947	0	1	0	0.9%	Unconventional myosin-Va OS=Homo sapiens GN=MYO5A PE=2 SV=1 	1	0_1_	0_1_
P	Q9BRX8	12	0	4.4222234E-4	0	0.57398295	0	12	0	19.7%	0	Redox-regulatory protein FAM213A OS=Homo sapiens GN=FAM213A PE=1 SV=3 	1	1_0_	1_0_
P	tr|E5RFS4|E5RFS4_HUMAN	0	1	0	2.027526E-4	0	0.5848932	0	1	0	20.0%	Protein FAM49B (Fragment) OS=Homo sapiens GN=FAM49B PE=2 SV=1 	1	0_1_	0_1_
P	tr|Q5JXX1|Q5JXX1_HUMAN	0	1	0	8.341089E-5	0	0.33967674	0	1	0	12.7%	Mortality factor 4-like protein 2 (Fragment) OS=Homo sapiens GN=MORF4L2 PE=2 SV=1 	1	0_1_	0_1_
P	Q5T8P6	0	3	0	5.2349234E-5	0	0.101539254	0	4	0	4.2%	RNA-binding protein 26 OS=Homo sapiens GN=RBM26 PE=1 SV=3 	1	0_1_	0_1_
P	P28161	8	0	3.0969086E-4	0	0.5417005	0	8	0	18.8%	0	Glutathione S-transferase Mu 2 OS=Homo sapiens GN=GSTM2 PE=1 SV=2 	1	1_0_	1_0_
P	P11171-3	1	0	1.3165485E-5	0	0.15345323	0	1	0	6.2%	0	Isoform 3 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-2	1	0	1.0155327E-5	0	0.11686325	0	1	0	4.8%	0	Isoform 2 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-5	1	0	1.0889131E-5	0	0.1271975	0	1	0	5.2%	0	Isoform 5 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-4	1	0	1.435217E-5	0	0.1694994	0	1	0	6.8%	0	Isoform 4 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-7	1	0	1.1720939E-5	0	0.13762724	0	1	0	5.6%	0	Isoform 7 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	P11171-6	1	0	1.4910029E-5	0	0.17760599	0	1	0	7.1%	0	Isoform 6 of Protein 4.1 OS=Homo sapiens GN=EPB41 	1	1_0_	1_0_
P	tr|C9JVG3|C9JVG3_HUMAN	0	1	0	7.706971E-5	0	0.27350307	0	1	0	10.5%	UTP--glucose-1-phosphate uridylyltransferase (Fragment) OS=Homo sapiens GN=UGP2 PE=2 SV=1 	1	0_1_	0_1_
P	Q9P287-3	1	0	2.8900946E-5	0	0.13501084	0	1	0	5.5%	0	Isoform 3 of BRCA2 and CDKN1A-interacting protein OS=Homo sapiens GN=BCCIP 	1	1_0_	1_0_
P	Q9UH03	3	25	7.071852E-5	0.0013252546	0.3520726	2.311311	3	36	13.1%	52.0%	Neuronal-specific septin-3 OS=Homo sapiens GN=SEPT3 PE=1 SV=3 	2	1_1_	1_1_
P	tr|R4GN06|R4GN06_HUMAN	2	1	3.5162817E-4	2.7456082E-4	0.7782794	0.7782794	2	1	25.0%	25.0%	COMM domain-containing protein 3 (Fragment) OS=Homo sapiens GN=COMMD3 PE=4 SV=1 	2	1_1_	1_1_
P	P08236-2	1	0	2.8130255E-5	0	0.07646525	0	2	0	3.2%	0	Isoform Short of Beta-glucuronidase OS=Homo sapiens GN=GUSB 	1	1_0_	1_0_
P	tr|B4DNN6|B4DNN6_HUMAN	1	0	1.339536E-4	0	0.6069412	0	2	0	20.6%	0	Nucleoredoxin OS=Homo sapiens GN=NXN PE=2 SV=1 	1	1_0_	1_0_
P	tr|E9PJG4|E9PJG4_HUMAN	0	1	0	8.7859466E-5	0	0.23879659	0	1	0	9.3%	Squalene synthase (Fragment) OS=Homo sapiens GN=FDFT1 PE=2 SV=1 	1	0_1_	0_1_
P	tr|Q5QPQ1|Q5QPQ1_HUMAN	4	0	3.1255838E-4	0	0.8407719	0	6	0	26.5%	0	Acyl-protein thioesterase 2 (Fragment) OS=Homo sapiens GN=LYPLA2 PE=2 SV=1 	1	1_0_	1_0_
P	tr|F5H698|F5H698_HUMAN	41	18	3.5847403E-4	2.44918E-4	0.9633602	0.38995266	48	21	29.3%	14.3%	Leucine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=LARS PE=2 SV=1 	2	1_1_	1_1_
P	tr|D6RE79|D6RE79_HUMAN	1	0	1.758141E-5	0	0.06414306	0	1	0	2.7%	0	Major facilitator superfamily domain-containing protein 10 OS=Homo sapiens GN=MFSD10 PE=2 SV=1 	1	1_0_	1_0_
P	tr|E7EWA4|E7EWA4_HUMAN	11	1	8.5843494E-5	1.0312144E-5	0.18304157	0.02093947	13	1	7.3%	0.9%	Cytoplasmic FMR1-interacting protein 2 OS=Homo sapiens GN=CYFIP2 PE=2 SV=1 	2	1_1_	1_1_
P	Q9BRR6	1	0	1.6980031E-5	0	0.10662377	0	1	0	4.4%	0	ADP-dependent glucokinase OS=Homo sapiens GN=ADPGK PE=1 SV=1 	1	1_0_	1_0_
P	Q9BRP8	3	0	1.2410406E-4	0	0.64437175	0	3	0	21.6%	0	Partner of Y14 and mago OS=Homo sapiens GN=WIBG PE=1 SV=1 	1	1_0_	1_0_
P	P02647	1	2	3.1607025E-5	1.4807776E-4	0.1271975	0.25025904	1	3	5.2%	9.7%	Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BS26	10	1	3.1178852E-4	3.2460393E-5	0.566751	0.10662377	15	1	19.5%	4.4%	Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1 	2	1_1_	1_1_
P	Q9BRQ6	1	0	7.182192E-5	0	0.2647363	0	2	0	10.2%	0	Coiled-coil-helix-coiled-coil-helix domain-containing protein 6, mitochondrial OS=Homo sapiens GN=CHCHD6 PE=1 SV=1 	1	1_0_	1_0_
P	tr|H7C3T5|H7C3T5_HUMAN	1	1	3.2583306E-5	5.088386E-5	0.20503592	0.20503592	1	1	8.1%	8.1%	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1 (Fragment) OS=Homo sapiens GN=AGAP1 PE=4 SV=1 	2	1_1_	1_1_
P	P31040	9	4	2.5418904E-4	9.923885E-5	0.30617094	0.049542427	20	5	11.6%	2.1%	Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Homo sapiens GN=SDHA PE=1 SV=2 	2	1_1_	1_1_
P	P02656	1	0	8.524319E-5	0	0.4521116	0	1	0	16.2%	0	Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1 	1	1_0_	1_0_
P	tr|F5GZV7|F5GZV7_HUMAN	6	0	5.092546E-4	0	1.2130947	0	7	0	34.5%	0	Vesicle-associated membrane protein 1 OS=Homo sapiens GN=VAMP1 PE=2 SV=1 	1	1_0_	1_0_
P	tr|A6NGJ0|A6NGJ0_HUMAN	1	0	1.1104048E-4	0	0.29419577	0	2	0	11.2%	0	Dynein light chain Tctex-type 3 OS=Homo sapiens GN=DYNLT3 PE=2 SV=1 	1	1_0_	1_0_
P	tr|D6RFM0|D6RFM0_HUMAN	1	0	8.611302E-5	0	0.5275661	0	1	0	18.4%	0	Ubiquitin-conjugating enzyme E2 D2 (Fragment) OS=Homo sapiens GN=UBE2D2 PE=2 SV=1 	1	1_0_	1_0_
P	P33316	1	0	6.69768E-5	0	0.16680968	0	2	0	6.7%	0	Deoxyuridine 5'-triphosphate nucleotidohydrolase, mitochondrial OS=Homo sapiens GN=DUT PE=1 SV=4 	1	1_0_	1_0_
P	P51398-2	5	0	1.4183322E-4	0	0.3708818	0	6	0	13.7%	0	Isoform 2 of 28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 	1	1_0_	1_0_
P	tr|J3KPI2|J3KPI2_HUMAN	52	14	7.204089E-4	2.678642E-4	1.3713737	0.58124804	63	15	37.5%	19.9%	Dynamin-1-like protein OS=Homo sapiens GN=DNM1L PE=2 SV=1 	2	1_1_	1_1_
P	P51398-3	5	0	1.3910566E-4	0	0.36458313	0	6	0	13.5%	0	Isoform 3 of 28S ribosomal protein S29, mitochondrial OS=Homo sapiens GN=DAP3 	1	1_0_	1_0_
P	Q8TDI0	0	8	0	6.744586E-5	0	0.08143401	0	10	0	3.4%	Chromodomain-helicase-DNA-binding protein 5 OS=Homo sapiens GN=CHD5 PE=2 SV=1 	1	0_1_	0_1_
P	tr|E9PKZ0|E9PKZ0_HUMAN	3	5	1.2349867E-4	3.2143705E-4	0.39958727	0.4996848	3	5	14.6%	17.6%	60S ribosomal protein L8 (Fragment) OS=Homo sapiens GN=RPL8 PE=2 SV=1 	2	1_1_	1_1_
