PLine	Accession	peptide_count_EXP19_CYT_050316(searched:2016-05-09)	peptide_count_EXP19_NUC_050316(searched:2016-05-09)	NSAF_EXP19_CYT_050316(searched:2016-05-09)	NSAF_EXP19_NUC_050316(searched:2016-05-09)	EMPAI_EXP19_CYT_050316(searched:2016-05-09)	EMPAI_EXP19_NUC_050316(searched:2016-05-09)	spectral_count_EXP19_CYT_050316(searched:2016-05-09)	spectral_count_EXP19_NUC_050316(searched:2016-05-09)	seqcov_EXP19_CYT_050316(searched:2016-05-09)	seqcov_EXP19_NUC_050316(searched:2016-05-09)	description	occurrence	status	
P	tr|E9PLK3|E9PLK3_HUMAN	42	4	4.98E-04	5.76E-05	1.0892961	0.1428783	54	4	32.00%	5.80%	Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=2 SV=1 	2	1_1_	1_1_
P	tr|S4R399|S4R399_HUMAN	1	0	4.24E-05	0	0.2618276	0	1	0	10.10%	0	Ataxin-3 (Fragment) OS=Homo sapiens GN=ATXN3 PE=4 SV=1 	1	1_0_	1_0_
P	Q9UGL1	0	1	0	8.54E-06	0	0.023293018	0	1	0	1.00%	Lysine-specific demethylase 5B OS=Homo sapiens GN=KDM5B PE=1 SV=3 	1	0_1_	0_1_
P	O43708-2	2	0	1.05E-04	0	0.33045447	0	2	0	12.40%	0	Isoform 2 of Maleylacetoacetate isomerase OS=Homo sapiens GN=GSTZ1 	1	1_0_	1_0_
P	Q13561-3	0	31	0	0.001242677	0	1.7039585	0	38	0	43.20%	Isoform 3 of Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 	1	0_1_	0_1_
P	Q13561-2	30	31	7.48E-04	0.001233495	1.4210291	1.6853445	36	38	38.40%	42.90%	Isoform 2 of Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 	2	1_1_	1_1_
P	Q8TCZ2	3	0	9.66E-05	0	0.3614447	0	3	0	13.40%	0	CD99 antigen-like protein 2 OS=Homo sapiens GN=CD99L2 PE=1 SV=1 	1	1_0_	1_0_
P	Q07866-8	36	7	6.13E-04	1.91E-04	1.5176768	0.4521116	40	8	40.10%	16.20%	Isoform S of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-7	36	7	5.78E-04	1.81E-04	1.3878112	0.4190575	40	8	37.80%	15.20%	Isoform P of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-6	36	7	5.38E-04	1.68E-04	1.2490547	0.38675582	40	8	35.20%	14.20%	Isoform N of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-5	36	7	5.48E-04	1.71E-04	1.285599	0.39315677	40	8	35.90%	14.40%	Isoform K of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	Q07866-9	36	7	5.28E-04	1.65E-04	1.2181964	0.37720942	40	8	34.60%	13.90%	Isoform I of Kinesin light chain 1 OS=Homo sapiens GN=KLC1 	2	1_1_	1_1_
P	tr|Q5SWX3|Q5SWX3_HUMAN	9	7	2.29E-04	2.30E-04	0.38995266	0.35518944	14	9	14.30%	13.20%	"Calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma, isoform CRA_n OS=Homo sapiens GN=CAMK2G PE=2 SV=1 "	2	1_1_	1_1_
P	Reverse_tr|B4DTC3|B4DTC3_HUMAN	1	0	2.79E-05	0	0.18304157	0	1	0	7.30%	0	Heterogeneous nuclear ribonucleoprotein D0 OS=Homo sapiens GN=HNRNPD PE=2 SV=1 	1	1_0_	1_0_
